,sign
0,book
1,drink
2,before
3,chair
4,go
5,who
6,fine
7,no
8,yes
9,all
10,black
11,finish
12,hot
13,like
14,many
15,now
16,orange
17,table
18,bed
19,blue
20,can
21,dog
22,fish
23,hat
24,kiss
25,later
26,man
27,shirt
28,white
29,apple
30,bird
31,cow
32,dance
33,give
34,pizza
35,time
36,brown
37,jacket
38,same
39,wait
40,water
41,yellow
42,brother
43,cat
44,cry
45,green
46,hair
47,have
48,read
49,red
50,room
51,sick
52,snow
53,why
54,yesterday
55,bad
56,cute
57,first
58,happy
59,home
60,old
61,person
62,police
63,stay
64,because
65,boy
66,close
67,drop
68,girl
69,hear
70,make
71,pencil
72,please
73,ride
74,where
75,animal
76,bath
77,cereal
78,flower
79,jump
80,milk
81,moon
82,not
83,sad
84,scissors
85,sleep
86,talk
87,think
88,wet
89,balloon
90,better
91,car
92,child
93,cut
94,dirty
95,down
96,dry
97,ear
98,elephant
99,fast
100,find
101,hello
102,morning
103,night
104,quiet
105,rain
106,there
107,tiger
108,tomorrow
109,tree
110,uncle
111,after
112,any
113,aunt
114,bedroom
115,carrot
116,chocolate
117,clean
118,cloud
119,doll
120,face
121,flag
122,food
123,for
124,giraffe
125,helicopter
126,high
127,hungry
128,outside
129,pig
130,shower
131,smile
132,story
133,that
134,thirsty
135,will
136,airplane
137,arm
138,boat
139,drawer
140,duck
141,every
142,frog
143,hate
144,head
145,horse
146,lion
147,listen
148,mom
149,mouse
150,nose
151,pretty
152,radio
153,see
154,underwear
155,up
156,dad
157,gum
158,if
159,loud
160,mad
161,mouth
162,napkin
163,open
164,say
165,stairs
166,store
167,sun
168,taste
169,touch
170,wolf
171,yourself
172,another
173,bee
174,clown
175,empty
176,farm
177,hide
178,on
179,sleepy
180,tooth
181,toothbrush
182,awake
183,bug
184,eye
185,grandma
186,grass
187,owl
188,snack
189,sticky
190,tongue
191,alligator
192,beside
193,blow
194,bye
195,closet
196,gift
197,lamp
198,penny
199,stuck
200,TV
12,backyard
34,callonphone
41,cheek
43,chin
51,cowboy
60,donkey
66,dryer
74,fall
77,feet
80,finger
82,fireman
89,frenchfries
91,garbage
96,glasswindow
98,goose
100,grandpa
109,haveto
114,hen
115,hesheit
122,icecream
124,into
126,jeans
129,kitty
134,lips
136,look
143,minemy
144,mitten
150,nap
154,noisy
158,nuts
164,owie
166,pajamas
167,pen
175,pool
176,potty
177,pretend
179,puppy
180,puzzle
186,refrigerator
194,shhh
196,shoe
214,thankyou
226,toy
231,vacuum
233,wake
236,weus
247,yucky
248,zebra
249,zipper
